variant,family,rank,layer,kl
truncated_r8,truncated,8,2,3.162263
truncated_r8,truncated,8,3,2.766136
truncated_r8,truncated,8,4,2.598315
truncated_r8,truncated,8,5,2.426482
truncated_r8,truncated,8,6,2.113385
truncated_r8,truncated,8,7,1.789719
truncated_r8,truncated,8,8,1.239897
truncated_r8,truncated,8,9,0.862457
truncated_r8,truncated,8,10,0.481927
truncated_r8,truncated,8,11,0.188299
random_r8,random,8,0,40.384706
random_r8,random,8,1,6.544679
random_r8,random,8,2,5.915779
random_r8,random,8,3,5.655741
random_r8,random,8,4,5.784242
random_r8,random,8,5,5.963008
random_r8,random,8,6,4.502149
random_r8,random,8,7,4.044246
random_r8,random,8,8,3.264289
random_r8,random,8,9,3.038662
random_r8,random,8,10,2.650523
random_r8,random,8,11,1.546277
trained_r8,trained,8,0,3.913579
trained_r8,trained,8,1,2.668944
trained_r8,trained,8,2,2.483013
trained_r8,trained,8,3,2.320450
trained_r8,trained,8,4,2.181823
trained_r8,trained,8,5,2.070922
trained_r8,trained,8,6,1.594523
trained_r8,trained,8,7,1.322514
trained_r8,trained,8,8,0.910100
trained_r8,trained,8,9,0.644530
trained_r8,trained,8,10,0.341361
trained_r8,trained,8,11,0.127663
truncated_r16,truncated,16,0,6.082771
truncated_r16,truncated,16,1,3.078245
truncated_r16,truncated,16,2,2.803006
truncated_r16,truncated,16,3,2.656419
truncated_r16,truncated,16,4,2.434787
truncated_r16,truncated,16,5,2.284475
truncated_r16,truncated,16,6,1.811987
truncated_r16,truncated,16,7,1.637165
truncated_r16,truncated,16,8,1.132525
truncated_r16,truncated,16,9,0.832149
truncated_r16,truncated,16,10,0.457018
truncated_r16,truncated,16,11,0.182036
random_r16,random,16,0,36.848612
random_r16,random,16,1,6.672804
random_r16,random,16,2,5.934201
random_r16,random,16,3,5.430326
random_r16,random,16,4,5.517124
random_r16,random,16,5,5.833658
random_r16,random,16,6,4.630031
random_r16,random,16,7,4.463963
random_r16,random,16,8,3.270681
random_r16,random,16,9,3.059969
random_r16,random,16,10,2.623241
random_r16,random,16,11,1.555549
trained_r16,trained,16,0,3.376806
trained_r16,trained,16,1,2.579400
trained_r16,trained,16,2,2.400303
trained_r16,trained,16,3,2.269832
trained_r16,trained,16,4,2.110214
trained_r16,trained,16,5,1.990610
trained_r16,trained,16,6,1.515021
trained_r16,trained,16,7,1.236636
trained_r16,trained,16,8,0.859292
trained_r16,trained,16,9,0.616211
trained_r16,trained,16,10,0.331296
trained_r16,trained,16,11,0.122493
truncated_r32,truncated,32,0,4.760368
truncated_r32,truncated,32,1,2.929569
truncated_r32,truncated,32,2,2.659435
truncated_r32,truncated,32,3,2.434216
truncated_r32,truncated,32,4,2.210701
truncated_r32,truncated,32,5,2.091036
truncated_r32,truncated,32,6,1.626985
truncated_r32,truncated,32,7,1.411197
truncated_r32,truncated,32,8,1.031620
truncated_r32,truncated,32,9,0.755032
truncated_r32,truncated,32,10,0.421714
truncated_r32,truncated,32,11,0.169641
random_r32,random,32,0,30.284479
random_r32,random,32,1,6.209939
random_r32,random,32,2,5.867319
random_r32,random,32,3,5.390711
random_r32,random,32,4,5.906365
random_r32,random,32,5,5.928494
random_r32,random,32,6,4.627210
random_r32,random,32,7,4.129725
random_r32,random,32,8,3.127793
random_r32,random,32,9,2.807866
random_r32,random,32,10,2.450326
random_r32,random,32,11,1.461751
trained_r32,trained,32,0,3.180569
trained_r32,trained,32,1,2.427058
trained_r32,trained,32,2,2.263007
trained_r32,trained,32,3,2.130340
trained_r32,trained,32,4,1.982266
trained_r32,trained,32,5,1.871616
trained_r32,trained,32,6,1.381234
trained_r32,trained,32,7,1.124762
trained_r32,trained,32,8,0.794658
trained_r32,trained,32,9,0.568302
trained_r32,trained,32,10,0.305857
trained_r32,trained,32,11,0.114463
truncated_r64,truncated,64,0,3.677849
truncated_r64,truncated,64,1,2.675863
truncated_r64,truncated,64,2,2.427647
truncated_r64,truncated,64,3,2.240977
truncated_r64,truncated,64,4,2.058000
truncated_r64,truncated,64,5,1.947257
truncated_r64,truncated,64,6,1.465985
truncated_r64,truncated,64,7,1.253173
truncated_r64,truncated,64,8,0.930705
truncated_r64,truncated,64,9,0.675087
truncated_r64,truncated,64,10,0.375907
truncated_r64,truncated,64,11,0.152524
random_r64,random,64,0,24.697564
random_r64,random,64,1,6.098137
random_r64,random,64,2,5.564043
random_r64,random,64,3,4.959082
random_r64,random,64,4,5.436928
random_r64,random,64,5,5.475679
random_r64,random,64,6,4.319009
random_r64,random,64,7,3.886966
random_r64,random,64,8,3.181681
random_r64,random,64,9,2.876993
random_r64,random,64,10,2.321713
random_r64,random,64,11,1.350866
trained_r64,trained,64,0,3.168095
trained_r64,trained,64,1,2.325355
trained_r64,trained,64,2,2.157459
trained_r64,trained,64,3,2.027790
trained_r64,trained,64,4,1.890794
trained_r64,trained,64,5,1.780505
trained_r64,trained,64,6,1.279007
trained_r64,trained,64,7,1.047143
trained_r64,trained,64,8,0.735726
trained_r64,trained,64,9,0.529142
trained_r64,trained,64,10,0.288205
trained_r64,trained,64,11,0.108804
truncated_r128,truncated,128,0,3.118993
truncated_r128,truncated,128,1,2.459987
truncated_r128,truncated,128,2,2.210176
truncated_r128,truncated,128,3,2.056230
truncated_r128,truncated,128,4,1.875675
truncated_r128,truncated,128,5,1.796475
truncated_r128,truncated,128,6,1.314438
truncated_r128,truncated,128,7,1.098019
truncated_r128,truncated,128,8,0.811469
truncated_r128,truncated,128,9,0.580789
truncated_r128,truncated,128,10,0.317767
truncated_r128,truncated,128,11,0.132466
random_r128,random,128,0,19.125124
random_r128,random,128,1,5.750011
random_r128,random,128,2,5.397286
random_r128,random,128,3,5.219492
random_r128,random,128,4,5.136408
random_r128,random,128,5,5.759357
random_r128,random,128,6,3.901861
random_r128,random,128,7,3.542036
random_r128,random,128,8,2.883490
random_r128,random,128,9,2.645414
random_r128,random,128,10,2.093315
random_r128,random,128,11,1.286958
trained_r128,trained,128,0,3.064704
trained_r128,trained,128,1,2.236688
trained_r128,trained,128,2,2.077592
trained_r128,trained,128,3,1.941319
trained_r128,trained,128,4,1.799485
trained_r128,trained,128,5,1.695234
trained_r128,trained,128,6,1.198575
trained_r128,trained,128,7,0.990302
trained_r128,trained,128,8,0.699437
trained_r128,trained,128,9,0.495352
trained_r128,trained,128,10,0.271186
trained_r128,trained,128,11,0.099505
truncated_r256,truncated,256,0,3.000228
truncated_r256,truncated,256,1,2.247311
truncated_r256,truncated,256,2,2.048993
truncated_r256,truncated,256,3,1.917075
truncated_r256,truncated,256,4,1.762573
truncated_r256,truncated,256,5,1.676050
truncated_r256,truncated,256,6,1.179574
truncated_r256,truncated,256,7,0.973140
truncated_r256,truncated,256,8,0.707301
truncated_r256,truncated,256,9,0.499025
truncated_r256,truncated,256,10,0.270934
truncated_r256,truncated,256,11,0.116913
random_r256,random,256,0,12.451335
random_r256,random,256,1,5.233880
random_r256,random,256,2,4.251561
random_r256,random,256,3,4.728273
random_r256,random,256,4,4.860157
random_r256,random,256,5,5.005917
random_r256,random,256,6,3.957091
random_r256,random,256,7,2.695048
random_r256,random,256,8,2.330403
random_r256,random,256,9,2.012420
random_r256,random,256,10,1.729274
random_r256,random,256,11,1.272851
trained_r256,trained,256,0,2.938930
trained_r256,trained,256,1,2.183041
trained_r256,trained,256,2,2.040175
trained_r256,trained,256,3,1.915657
trained_r256,trained,256,4,1.766364
trained_r256,trained,256,5,1.676429
trained_r256,trained,256,6,1.162625
trained_r256,trained,256,7,0.942240
trained_r256,trained,256,8,0.680911
trained_r256,trained,256,9,0.475805
trained_r256,trained,256,10,0.259192
trained_r256,trained,256,11,0.097632
truncated_r384,truncated,384,0,2.982904
truncated_r384,truncated,384,1,2.177381
truncated_r384,truncated,384,2,1.988808
truncated_r384,truncated,384,3,1.858480
truncated_r384,truncated,384,4,1.709100
truncated_r384,truncated,384,5,1.623651
truncated_r384,truncated,384,6,1.129879
truncated_r384,truncated,384,7,0.928475
truncated_r384,truncated,384,8,0.671017
truncated_r384,truncated,384,9,0.472750
truncated_r384,truncated,384,10,0.256542
truncated_r384,truncated,384,11,0.110595
random_r384,random,384,0,7.953122
random_r384,random,384,1,4.253248
random_r384,random,384,2,4.718802
random_r384,random,384,3,3.768043
random_r384,random,384,4,3.633492
random_r384,random,384,5,3.541420
random_r384,random,384,6,2.788912
random_r384,random,384,7,2.390481
random_r384,random,384,8,1.733371
random_r384,random,384,9,1.614750
random_r384,random,384,10,1.392265
random_r384,random,384,11,0.860475
trained_r384,trained,384,0,2.865724
trained_r384,trained,384,1,2.143455
trained_r384,trained,384,2,1.986144
trained_r384,trained,384,3,1.856788
trained_r384,trained,384,4,1.725010
trained_r384,trained,384,5,1.629139
trained_r384,trained,384,6,1.127045
trained_r384,trained,384,7,0.919059
trained_r384,trained,384,8,0.649983
trained_r384,trained,384,9,0.462852
trained_r384,trained,384,10,0.248304
trained_r384,trained,384,11,0.091634
